name,school,level,cast_time,distance,target,duration,save,resist,component,area,effect,description
Облик растения I,превращение (полиморфизм),чародей / волшебник 5,1 основное действие,на себя,вы сами,1 мин. / 1 УЗ (П),,,"С, Ж, Р (частичка существа, чей облик вы хотите принять)",,,"<p>Применяя это заклинание, вы превращаетесь в любое небольшое или среднее растение-чудовище (см. ≪Бестиарий≫). Если такие существа обычно имеют любую из описанных далее способностей, вы ее получаете: ночное зрение 60 футов, захват, сдавливание, сумеречное зрение и яд. Если выбранное вами существо не может передвигаться, то ваша наземная скорость снижается до 5 футов и вы теряете иные способы передвижения. Если существо имеет уязвимость к стихии, вы тоже ее получаете.</p>
<p>Небольшое растение: Если вы принимаете облик небольшого растения-чудовища, то получаете +2 (размер) к Выносливости и +2 (естественная броня) к КБ.</p>
<p>Среднее растение: Если вы принимаете облик среднего растения, то получаете +2 (размер) к Силе и Выносливости и +2 (естественная броня) к КБ.</p>"
Облик растения II,превращение (полиморфизм),чародей / волшебник 6,,,,,,,,,,"<p>Это заклинание работает так же, как облик растения I, но дополнительно позволяет вам принимать облик крупного растения-чудовища. Если такие существа имеют невосприимчивость или устойчивость к любым стихиям, вы получаете устойчивость 20 к этим стихиям. Если существо имеет уязвимость к стихии, вы тоже ее получаете.</p>
<p>Крупное растение: Если вы принимаете облик Крупного растения-чудовища, то получаете +4 (размер) к Силе и +2 (размер) к Выносливости, а также +4 (естественная броня) к КБ.</p>"
Облик растения III,превращение (полиморфизм),чародей / волшебник 7,,,,,,,,,,"<p>Это заклинание работает так же, как облик растения II, но дополнительно позволяет вам принимать облик огромного растения.</p>
<p>Если такие существа обычно имеют любую из перечисленных далее способностей, вы ее получаете: регенерация 5, снижение урона и затаптывание.</p>
<p>Огромное растение: Если вы принимаете облик огромного растения-чудовища, то получаете +8 (размер) к Силе, –2 (размер) к Ловкости, +4 (размер) к Выносливости и +6 (естественная броня) к КБ.</p>"
Обманка,"иллюзия (фикция, морок)","бард 5, чародей / волшебник 6",одно основное действие,близкая (25 футов + 5 футов / 2 УЗ),вы,1 раунд / 1 УЗ (П) и концентрация + 3 раунда; см. текст,нет или испытание Воли (разоблачение при взаимодействии); см. текст,нет,Ж,,один иллюзорный двойник,"<p>Вы становитесь невидимы (как при использовании заклятия высшая невидимость, морок), и в тот же момент появляется ваш иллюзорный двойник (как от заклятия полноценный образ, фикция). Вы сами после этого делаете что угодно, а ваш двойник двигается туда, куда вы его направите; последнее требует концентрации, начиная со следующего раунда после сотворения заклинания. Вы можете изначально создать двойника где угодно в пределах дистанции, а можете — ровно на том месте, где стояли, чтобы окружающие не заметили ничего странного. Вы и двойник можете двигаться в разных направлениях. Двойник перемещается с той же скоростью, что и вы, способен говорить и жестикулировать, но не драться или использовать заклинания, хотя может изображать подобные действия. Двойник остается, пока вы на нем концентрируетесь и еще три раунда после этого; по окончании концентрации он просто повторяет одни и те же действия. Эффект высшей невидимости длится один раунд за УЗ вне зависимости от концентрации.</p>"
Обнаружение животных и растений,прорицание,"друид 1, следопыт 1",1 основное действие,дальняя (400 футов + 40 футов / 1 УЗ),,"концентрация, до 10 мин. / 1 УЗ (П)",нет,нет,"С, Ж",эманация в форме конуса,,"<p>Вы можете обнаружить представителей определенного вида животных или растений в конусообразной области, простирающейся от вас в направлении вашего взгляда. Вы должны выбрать определенный вид животного или растения в момент сотворения заклинания, но каждый раунд вы можете менять его на другой. От того, насколько долго вы сосредотачиваетесь на конкретном виде флоры или фауны, зависит, что именно вы узнаете.</p>
<p>1 раунд: Присутствие или отсутствие животных либо растений данного вида в области.</p>
<p>2 раунд: Количество особей данного вида, состояние самого здорового экземпляра.</p>
<p>3 раунд: Состояние и местонахождение каждой особи. Если животное и растение находится вне пределов вашей видимости, то вы можете определить направление, но не точное местонахождение.</p>
<p>Состояние: Это заклинание умеет различать следующие состояния особи: • Хорошее: имеет хотя бы 90% от полного количества ПЗ, не больна.</p>
<p>• Удовлетворительное: имеет от 30% до 90% от полного количества ПЗ.</p>
<p>• Плохое: имеет менее 30% от полного количества ПЗ, страдает от болезни или имеет физические повреждения, ограничивающие активность.</p>
<p>• Очень плохое: имеет 0 или меньше ПЗ, страдает от болезни, из-за чего одна из ее характеристик снизилась до 5 или меньше либо искалечена.</p>
<p>Если существо по состоянию попадает в более чем одну категорию, заклинание указывает ту, которая хуже.</p>
<p>Каждый раунд вы можете поворачиваться, чтобы поискать животных или растения в новом направлении. Это заклинание позволяет видеть сквозь многие преграды, но 1 фут камня, 3 фута дерева или земли, тончайший слой свинца или 1 дюйм любого другого металла становятся для него препятствием.</p>"
Обнаружение магии,прорицание,"бард 0, жрец 0, друид 0, чародей / волшебник 0",1 основное действие,60 футов,,"концентрация, до 1 мин. / 1 УЗ (П)",нет,нет,"С, Ж",эманация в форме конуса,,"<p>Вы обретаете способность видеть магические ауры. От того, насколько долго вы изучаете место или отдельное существо / предмет, зависит, что именно вы узнаете.</p>
<p>1 раунд: Присутствие или отсутствие магических аур.</p>
<p>2 раунд: Количество разных магических аур и мощность самой сильной из них.</p>
<p>3 раунд: Сила и местоположение каждой ауры. Если предметы или существа с магической аурой находятся в пределах вашей видимости, вы можете пройти проверку Знания (магия) для определения школы магии (одна проверка на ауру, СЛ15 + круг заклинания либо 15 + . УЗ для предметов). Если аура принадлежит волшебному предмету, вы можете попробовать определить его свойства (см. навык Колдовство).</p>
<p>Если аур много или некоторые из них особенно сильны, то более слабые могут быть неразличимы на их фоне.</p>
<p>Мощность ауры Заклинание или предмет </p>
<p>Слабая Средняя Сильная Ошеломительная</p>
<p>Действующ.заклин. (круг)3 или ниже 4—6 7—9 10+ (божественный) Волшебный предмет (УЗ) 5 или ниже 6—11 12—20 21+ (артефакт) </p>
<p>Мощность ауры: Зависит от круга заклинания (для чар) или УЗ (для предметов); см. таблицу. Если аура подпадает под более чем одну категорию, то она трактуется в соответствии с сильнейшей версией.</p>
<p>Остаточная аура: Сохраняется какое-то время после того, как ее источник исчезнет или окажется уничтожен (например, прекратит действовать заклинание или волшебный предмет будет разрушен). Когда вы пытаетесь использовать обнаружение магии, глядя на это место, заклинание позволяет определить мощность ауры как тусклую (еще слабее, чем просто слабая). Длительность сохранения тусклой ауры зависит от ее первоначальной силы.</p>
<p>Мощность первоначальной аурыДлительность остаточной ауры </p>
<p>Слабая 1d6 раундов </p>
<p>Средняя 1d6 минут </p>
<p>Сильная 1d6 × 10 минут </p>
<p>Ошеломительная 1d6 дней </p>
<p>Потусторонние существа и элементали не имеют магической ауры сами по себе, но если их призвали заклинанием, то последнее прекрасно обнаруживается.</p>
<p>Каждый раунд вы можете поворачиваться, чтобы искать магию в новом направлении.</p>
<p>Это заклинание позволяет видеть сквозь многие преграды, но 1 фут камня, 3 фута дерева или земли, тончайший слой свинца или 1 дюйм любого другого металла становятся для него непреодолимым препятствием.</p>
<p>Обнаружение магии можно сделать вечным при помощи заклинания постоянство.</p>"
Обнаружение нежити,прорицание,"жрец 1, паладин 1, чародей / волшебник 1",1 основное действие,60 футов,,"концентрация, до 1 мин. / 1 УЗ (П)",нет,нет,"С, Ж, Р / СФ (кладбищенская земля)",эманация в форме конуса,,"<p>Вы обретаете способность видеть ауру, характерную для нежити.</p>
<p>От того, насколько долго вы изучаете окрестности, зависит, что именно вы узнаете.</p>
<p>1 раунд: Наличие или отсутствие нежити в области действия заклинания.</p>
<p>2 раунд: Количество аур нежити в области действия и мощность самой сильной из них. Если у вас доброе мировоззрение, а сила самой мощной ауры является ошеломительной (см.</p>
<p>ниже) и количество КЗ существа превосходит ваш уровень хотя бы вдвое, вы оказываетесь в шоке на 1 раунд, а заклинание прерывается.</p>
<p>3 раунд: Силу и местоположение ауры каждой нежити. Если аура находится не на вашей линии видимости, то вы можете определить направление к ней, но не ее точное местоположение.</p>
<p>Сила ауры: Сила ауры у нежити определяется количеством ее КЗ в соответствии с таблицей ниже.</p>
<p>Остаточная аура: Следы присутствия нежити остаются некоторое время после ее уничтожения. Если применить к этому месту обнаружение нежити, то можно увидеть тусклую ауру (еще слабее, чем просто слабая). От первоначальной силы ауры зависит, сколько продержатся остаточные эффекты, — см. таблицу ниже.</p>
<p>КЗ Длительность аурыСила остаточной ауры </p>
<p>1 или меньше Слабая 1d6 раундов </p>
<p>2–4 Средняя 1d6 минут </p>
<p>5–10 Сильная 1d6 × 10 минут </p>
<p>11 или выше Ошеломительная 1d6 дней </p>
<p>Это заклинание позволяет видеть сквозь многие преграды, но 1 фут камня, 3 фута дерева или земли, тончайший слой свинца или 1 дюйм любого другого металла становятся для него непреодолимым препятствием.</p>"
Обнаружение слежки,прорицание,"бард 4, чародей / волшебник 4",1 основное действие,40 футов,,24 часа,нет,нет,"С, Ж, Р (кусочек зеркала и миниатюрная латунная слуховая трубка)",эманация радиусом 40 футов с центром на вас,,"<p>Вы немедленно узнаете, если за вами кто-то следит при помощи заклинаний тайновидения или подобных магических средств.</p>
<p>Эманация этого заклинания исходит от вас и движется вместе с вами. Вы автоматически определяете местонахождение любого магического сенсора в области действия вашего заклинания.</p>
<p>Если следящий находится там же, вы определяете его местонахождение; в противном случае вы и тот, кто следит, проходите встречную проверку УЗ (1d20 + УЗ). В случае успеха вы получаете зрительный образ следившего и точную информацию о том, в каком направлении и на каком расстоянии он от вас находится.</p>"
Обнаружение силков и ям,прорицание,"друид 1, следопыт 1",1 основное действие,60 футов,,"концентрация, до 1 мин. / 1 УЗ (П)",нет,нет,"С, Ж",эманация в форме конуса,,"<p>Вы обретаете способность замечать простые ямы, готовые упасть деревья, а также силки и иные простейшие ловушки из естественных материалов. Это заклинание не помогает находить сложные или механические ловушки, включая люки.</p>
<p>Обнаружение силков и ям помогает замечать в том числе естественные опасности: зыбучие пески (эквивалент силка), болотные окна (эквивалент ямы) и обвалоопасные места в пещерах (эквивалент падающего дерева). Оно не помогает обнаруживать другие потенциально опасные природные явления, а также магические ловушки (кроме тех, которые представляют собой ямы, падающие деревья или силки, — см., например, заклинание силки). Заклинание не определяет в качестве ловушки то, что не работает по любым причинам — например, обезврежено.</p>
<p>Что именно вы видите, зависит от того, насколько долго вы изучаете местность перед собой.</p>
<p>1 раунд: Наличие или отсутствие опасностей.</p>
<p>2 раунд: Количество опасных зон и местоположение каждой.</p>
<p>Если опасность находится вне вашей линии видимости, то вы можете определить ее направление, но не точное местоположение.</p>
<p>Каждый следующий раунд: Вы определяете общий тип одного внимательно рассмотренного вами опасного места, а также выясняете, при каких обстоятельствах оно становится опасным.</p>
<p>Вы можете каждый раунд поворачиваться и изучать местность в другом направлении.</p>
<p>Это заклинание позволяет видеть сквозь многие преграды, но 1 фут камня, 3 фута дерева или земли, тончайший слой свинца или 1 дюйм любого другого металла становятся для него непреодолимым препятствием.</p>"
Обнаружение тайных дверей,прорицание,"бард 1, чародей / волшебник 1",1 основное действие,60 футов,,"концентрация, до 1 мин. / 1 УЗ (П)",нет,нет,"С, Ж",эманация в форме конуса,,"<p>Вы обретаете способность обнаруживать спрятанные двери, тайники, клады и т. д.</p>
<p>Это заклинание показывает только проходы, двери и помещения, которые специально были замаскированы. От того, насколько долго вы изучаете место или отдельный предмет, зависит, что именно вы узнаете.</p>
<p>1 раунд: Присутствие или отсутствие потайных дверей.</p>
<p>2 раунд: Присутствие или отсутствие потайных дверей, точное их количество и местоположение. Если потайная дверь находится вне вашей линии видимости, то вы можете определить, в каком направлении она находится, но не ее точное местоположение.</p>
<p>Каждый следующий раунд: Вы можете выявить механизм или подобное средство, открывающее уже найденную потайную дверь, либо перейти в другое место и поискать потайные двери там.</p>
<p>Это заклинание позволяет видеть сквозь многие преграды, но 1 фут камня, 3 фута дерева или земли, тончайший слой свинца или 1 дюйм любого другого металла становятся для него непреодолимым препятствием.</p>"
Обнаружение ядов,прорицание,"жрец 0, друид 0, паладин 1, следопыт 1, чародей / волшебник 0",1 основное действие,близкая (25 футов + 5 футов / 2 УЗ),"одно существо, предмет или область в виде куба 5×5×5 футов",мгновенное,нет,нет,"С, Ж","одно существо, предмет или область в виде куба 5×5×5 футов",,"<p>Вы определяете, является ли некое существо, предмет или место ядовитым либо отравленным. Успешно пройдя проверку Мудрости со СЛ 20, вы также определяете конкретный вид яда. Персонаж с навыком Ремесло (алхимия) может вместо этого пройти проверку этого навыка со СЛ 20. Он также вправе пройти проверку навыка Ремесло (алхимия), если провалит проверку Мудрости.</p>
<p>Это заклинание позволяет видеть сквозь многие преграды, но 1 фут камня, 3 фута дерева или земли, тончайший слой свинца или 1 дюйм любого другого металла становятся для него непреодолимым препятствием.</p>"
Обессиливающий луч,некромантия,чародей / волшебник 3,1 основное действие,близкая (25 футов + 5 футов / 2 УЗ),,1 мин. / 1 УЗ,Стойкости ослабляет; см. текст,да,"С, Ж, Р (капля пота)",,луч,"<p>С вашего пальца срывается черный луч; вам надо попасть им в цель, совершив дистанционную атаку касанием. Цель становится обессиленной на время действия заклинания; при успешном испытании Воли она становится просто утомленной, но если она уже была утомленной, то все же оказывается обессиленной. На уже обессиленных существ это заклинание не действует.</p>
<p>В отличие от обычного утомления или обессиленности, этот эффект проходит, когда заклинание прекращает действовать.</p>"
Облик дерева,превращение,"друид 2, следопыт 3",1 основное действие,на себя,вы сами,1 час / 1 УЗ (П),,,"С, Ж, СФ",,,"<p>Это заклинание позволяет вам принять облик крупного живого дерева либо куста или крупного мертвого древесного ствола с небольшим количеством веток. Вы сами выбираете вид дерева и мелкие детали. Даже вблизи невозможно определить, что это дерево или этот куст на деле является чем-то другим, и только обнаружение магии показывает слабую ауру превращения, которой окутано это дерево. В облике дерева вы видите и слышите все вокруг, как обычно; ваши ПЗ и модификаторы к испытаниям остаются прежними. У вас появляется бонус +10 (естественная броня) к КБ, но значение вашей Ловкости становится нулевым, равно как и ваша скорость. В облике дерева вы невосприимчивы к критическим ударам. Все ваше снаряжение превращается в дерево вместе с вами. Вы можете в любой момент прекратить работу этого заклинания (свободное, а не основное действие).</p>"
Обратная гравитация,превращение,"друид 8, чародей / волшебник 7",1 основное действие,средняя (100 футов + 10 футов / 1 УЗ),,1 раунд / 1 УЗ (П),нет; см. текст,нет,"С, Ж, Р / СФ (магнит и железные опилки)",(один куб 10×10×10 футов) / 1 УЗ (Ф),,"<p>Гравитационные силы в области действия заклинания начинают работать в обратном направлении, отчего все незакрепленные предметы и существа в ней поднимаются вверх и за 1 раунд достигают ее верхней границы. Если на пути им попадается твердая поверхность (например, потолок), они ударяются о него, как о землю при падении. Если в верхней части области нет ничего подобного, все упавшее задерживается там и висит, пока не прекратится действие заклинания, после чего падает вниз. Если в области действия заклинания есть за что держаться, существо может попытаться пройти испытание Реакции и зацепиться, чтобы не подняться вверх. Существа, способные летать или левитировать, не поднимаются.</p>"
Огненная буря,разрушение [огонь],"жрец 8, друид 7",1 основное действие,средняя (100 футов + 10 футов / 1 УЗ),,мгновенное,Реакции ½ урона,да,"С, Ж",(два куба 10×10×10 футов) / 1 УЗ (Ф),,"<p>Сотворив огненную бурю, вы наполняете всю область действия заклинания ревущим пламенем. Это пламя не вредит обычным растениям, почве, а также любым растениям-чудовищам, которых вы хотите уберечь от своего заклинания. Все остальные в области действия получают 1d6 урона за единицу вашего УЗ (максимум 20d6). Существа, провалившие испытания Реакции, воспламеняются, получая 4d6 урона каждый раунд, пока не погасят пламя. Чтобы погасить его, надо в качестве действия полного хода пройти испытание Реакции со СЛ 20.</p>"
Огненная ловушка,преграждение [огонь],"друид 2, чародей / волшебник 4",10 минут,касание,предмет (которого коснулись),"постоянное, пока не сработает (П)",Реакции ½ урона; см. текст,да,"С, Ж, Р (золотая пыль стоимостью 25 зм)",,,"<p>Огненную ловушку можно поставить только на предмет, способный открываться и закрываться. Когда этот предмет открывают, она взрывается.</p>
<p>Во время сотворения заклинания вы выбираете точку на предмете, которая становится центром заклинания. Если кто-то кроме вас открывает потом этот предмет, то происходит взрыв, поражающий все в радиусе 5 футов от центра заклинания. Пламя наносит 1d4 урона огнем за единицу УЗ (максимум +20). Сам предмет урона от взрыва не получает.</p>
<p>На один предмет можно наложить лишь одно заклинание-ловушку. Заклинание стук не помогает обойти огненную ловушку.</p>
<p>Неудачная попытка рассеивания магии не вызывает ее срабатывания. Под водой это заклинание наносит половину урона и создает большое облако пара.</p>
<p>Вы сами можете использовать объект с такой ловушкой, не вызывая ее срабатывания; это также может делать любой, на кого вы специально настроили это заклинание во время сотворения. Обычно для такой ≪настройки≫ используется пароль, который можно сообщить друзьям.</p>
<p>Магические ловушки вроде огненной ловушки трудно обнаруживать и обезвреживать. Только персонаж со способностью поиск ловушек может использовать Внимание для обнаружения этого заклинания и Механику для ее обезвреживания. СЛ обеих задач равна 25 + круг заклинания, что дает СЛ 27 для друидической огненной ловушки и СЛ 29 для мистической.</p>"
Огненная стена,разрушение [огонь],"друид 5, чародей / волшебник 4",1 основное действие,средняя (100 футов + 10 футов / 1 УЗ),,концентрация + 1 раунд / 1 УЗ,нет,да,"С, Ж, Р / СФ (кусок фосфора)",,стена пламени длиной до 20 футов / 1 УЗ или кольцо пламени радиусом до 5 футов / 2 УЗ; высота в обоих случаях 20 футов,"<p>От этого заклинания поднимается неподвижный занавес пурпурного пламени. Одна его сторона (по вашему выбору) пышет жаром, нанося 2d4 урона огнем всем в пределах 5 футов от нее и 1d4 урона огнем всем дальше 5, но ближе 20 футов. Стена наносит урон сразу, как только появляется, и всем, кто окажется в области действия заклинания, в начале каждого вашего дальнейшего хода. Кроме того, стена наносит 2d6 урона огня огнем + 1 за единицу УЗ (максимум +20) всем, проходящим сквозь нее.</p>
<p>Она наносит двойной урон нежити. Если вы создаете стену там, где в данный момент есть существа, они все получают урон, как при проходе сквозь эту стену. Если любой пятифутовый участок стены получает 20 или более урона холодом в 1 раунд, он пропадает (в этом случае холодный урон не следует делить пополам, как при повреждении предметов).</p>
<p>Огненную стену можно сделать постоянной с помощью заклинания постоянство. Постоянная огненная стена, погашенная холодным уроном, пропадает на 10 минут, а затем восстанавливается в прежнем виде.</p>"
Огненные семена,воплощение (созидание) [огонь],друид 6,1 основное действие,касание,до четырех желудей или до восьми ягод падуба,10 мин. / 1 УЗ или пока не будет использовано,нет или испытание Реакции ½ урона; см. текст,нет,"С, Ж, Р (желуди либо ягоды падуба)",,,"<p>В зависимости от выбранной версии заклинания, вы либо делаете с помощью огненных семян жидкостное оружие, которое вы или кто-то другой можете метать, либо превращаете ягоды падуба в мины, взрывающиеся по сигналу.</p>
<p>Желудевые гранаты: Вы можете превратить в оружие до четырех желудей. Каждый такой заколдованный желудь можно метать с шагом дистанции 20 футов. Вам нужно попасть в цель дистанционной атакой касанием. Все вместе эти желуди способны нанести 1d4 урона огнем за единицу УЗ (максимум 20d4). Вы делите этот урон между желудями как вам удобнее, но ни один отдельный желудь не может нанести более 10d4 урона. Каждый желудь взрывается, попадая в любой твердый предмет. Кроме прямых повреждений огнем, все существа на соседних клетках с местом взрыва получают 1 пункт огненного урона за каждый d4 урона от взрыва. От этого огня также воспламеняются любые горючие предметы, оказавшиеся рядом с целью.</p>
<p>Мины из ягод падуба: Вы превращаете до восьми ягод падуба в мины-ловушки. Они слишком легкие, чтобы их метать (летят только на 5 футов), и поэтому их обычно размещают на площади. Если вы находитесь в пределах 200 футов от таких мин и произносите особое слово, все ягоды немедленно взрываются и наносят всем существам в радиусе 5 футов 1d8 урона огнем + 1 за единицу УЗ, а также воспламеняют в этой зоне любые горючие материалы. Существа в зоне взрыва, успешно прошедшие испытание Реакции, получают только половину урона.</p>"
Огненные стрелы,превращение [огонь],чародей / волшебник 3,1 основное действие,близкая (25 футов + 5 футов / 2 УЗ),"пятьдесят единиц боеприпасов, кучно собранных на момент сотворения заклинания",10 мин. / 1 УЗ,нет,нет,"С, Ж, Р (капля масла и маленький кусочек кремня)",,,"<p>Это заклинание позволяет сделать некоторое количество снарядов, например стрел, арбалетных болтов, сюрикенов или камней для пращи, огненными. Каждая такая стрела или камень наносит дополнительно 1d6 урона огнем любой цели, в которую попадает.</p>
<p>Огненный снаряд легко поджигает горючие материалы и предметы, но не существ.</p>"
Огненный клинок,разрушение [огонь],друид 2,1 основное действие,0 футов,,1 мин. / 1 УЗ (П),нет,да,"С, Ж, СФ",,"луч, похожий на меч","<p>Из вашей руки вырывается огненный луч в 3 фута длиной; вы можете пользоваться им как скимитаром, но атаки огненным клинком считаются атаками касанием в ближнем бою. Это заклинание наносит 1d8 урона огнем + 1 за 2 УЗ (максимум +10). Поскольку клинок не является твердым, ваш модификатор Силы не добавляется к урону. Огненный клинок может поджигать легко воспламеняющиеся материалы вроде пергамента, соломы, сухих веток и тканей.</p>"
Огненный столп,разрушение [огонь],"жрец 5, друид 4",1 основное действие,средняя (100 футов + 10 футов / 1 УЗ),,мгновенно,Реакции ½ урона,да,"С, Ж, СФ","цилиндр (радиус 10 футов, высота 40 футов)",,"<p>Огненный столп создает вертикальный столб священного огня.</p>
<p>Он наносит 1d6 урона за единицу УЗ (максимум 15d6). Половина этого урона — огненная, а вторая половина представляет собой прямое проявление божественной силы, от которого не защищает устойчивость к огню.</p>"
Огненный шар,разрушение [огонь],чародей / волшебник 3,1 основное действие,дальняя (400 футов + 40 футов / 1 УЗ),,мгновенно,Реакции ½ урона,да,"С, Ж, Р (шарик гуано летучей мыши и сера)",облако радиусом 20 футов,,"<p>Заклинание огненный шар производит громкий взрыв, наносящий 1d6 урона от огня за единицу УЗ (максимум 10d6) всем существам и предметам, находящимся не у существ, в области действия. Взрыв практически не создает давления.</p>
<p>При сотворении заклинания вы показываете пальцем направление и выбираете расстояние, на котором взорвется шар. После этого с вашего пальца срывается бусина размером с горошину и летит к цели; если она не врежется по дороге во что-нибудь твердое, то превратится в большой огненный шар, долетев до цели. Столкновение с чем-либо по пути приводит к преждевременному взрыву. Если вы пытаетесь выстрелить такой бусиной сквозь узкое отверстие, например бойницу, вам нужно успешно совершить дистанционную атаку касанием, иначе бусина попадет в препятствие и взорвется преждевременно.</p>
<p>Огненный шар поджигает все, что горит, и наносит огненный урон предметам. Он может плавить металлы с низкой температурой плавления вроде свинца, золота, серебра и бронзы. Если нанесенного огненным шаром урона достаточно, чтобы препятствие, о которое он ударился, разбилось или сломалось, эффекты взрыва проникают и за это препятствие тоже. В противном случае взрыв ограничивается препятствием, как и у всех других похожих заклинаний.</p>"
Огненный щит,разрушение [огонь или холод],чародей / волшебник 4,1 основное действие,на себя,вы сами,1 раунд / 1 УЗ (П),,,"С, Ж, Р (фосфор для горячего щита; светлячок для холодного щита)",,,"<p>Это заклинание окутывает вас пламенем, которое наносит урон каждому существу, нападающему на вас в ближнем бою. Пламя также защищает вас от атак холодом или огнем, в зависимости от выбранного вами варианта огненного щита. Любое существо, атакующее вас естественным оружием или оружием ближнего боя, наносит вам обычный урон при попадании, но само получает при этом 1d6 урона + 1 за единицу вашего УЗ (максимум +15). Это либо урон холодом (если вы используете вариант холодный щит), либо огнем (если вы используете горячий щит). Если у нападающего есть УкМ, то она может защитить от этого урона. Те, кто пользуется длинным оружием, не получают этого урона при атаке.</p>
<p>Пока заклинание работает, вы выглядите горящим, но пламя это не очень яркое и повышает освещенность только в радиусе 5 футов от вас и на один шаг, максимум до среднего уровня. Если вы используете холодный щит, то это пламя голубого или зеленого цвета; если горячий — фиолетового или красного. Особые свойства каждого варианта щита указаны ниже.</p>
<p>Холодный щит: Языки пламени этого щита холодны на ощупь; он уменьшает получаемый вами огненный урон вдвое. Если огненная атака позволяет пройти испытание Реакции, чтобы уменьшить урон вдвое, то при успехе вы не получаете урона вообще.</p>
<p>Горячий щит: Языки пламени этого щита горячи на ощупь; он уменьшает для вас урон от холода вдвое. Если атака холодом позволяет пройти испытание Реакции, чтобы уменьшить урон вдвое, то при успехе вы не получаете урона вообще.</p>"
